Account,Date,TimeOpened,TimeClosed,TradeType,StopType,StopMultiple,PriceOpen,PriceClose,PriceStopTarget,TotalPremium,Qty,Commission,ProfitLoss,Status,ShortPut,LongPut,ShortCall,LongCall,BuyingPower,StopMultipleResult,Slippage,StopTrigger,PutDelta,CallDelta,Template,Strategy,PriceLong,PriceShort,OpenDate,OpenTime,CloseDate,CloseTime,TradeID,ParentTradeID,ContractCount
IB:U14981614,2/2/2026,10:07 AM,4:00 PM,PutSpread,Short,1,1.5,0,3,150,1,3.1925,146.8075,Expired,6900,6800,,,9850,1,0,Double Bid,-0.113335940191248,,EMA-V Puts,EMA-VWAP,0.35,1.85,2026-02-02,10:07:01,2026-02-02,16:00:06,14868,0,2
IB:U14981614,2/2/2026,10:16 AM,4:00 PM,PutSpread,Short,1,1.5,0,3,150,1,3.1925,146.8075,Expired,6910,6810,,,9850,1,0,Double Bid,-0.0885385156078684,,EMA-V Puts,EMA-VWAP,0.37,1.87,2026-02-02,10:16:02,2026-02-02,16:00:15,14871,0,2
IB:U14981614,2/2/2026,10:25 AM,4:00 PM,PutSpread,Short,1,1.5,0,3,150,1,3.1925,146.8075,Expired,6915,6815,,,9850,1,0,Double Bid,-0.091514897351433,,EMA-V Puts,EMA-VWAP,0.37,1.87,2026-02-02,10:25:02,2026-02-02,16:00:20,14872,0,2
IB:U14981614,2/2/2026,10:34 AM,4:00 PM,PutSpread,Short,1,1.5,0,3,150,1,3.1925,146.8075,Expired,6915,6815,,,9850,1,0,Double Bid,-0.094618811155739,,EMA-V Puts,EMA-VWAP,0.32,1.82,2026-02-02,10:34:03,2026-02-02,16:00:35,14877,0,2
IB:U14981614,2/2/2026,10:43 AM,4:00 PM,PutSpread,Short,1,1.55,0,3.1,155,1,3.1925,151.8075,Expired,6925,6825,,,9845,1,0,Double Bid,-0.0967360890833598,,EMA-V Puts,EMA-VWAP,0.3,1.85,2026-02-02,10:43:01,2026-02-02,16:00:40,14878,0,2
IB:U14981614,2/2/2026,10:52 AM,4:00 PM,PutSpread,Short,1,1.5,0,3,150,1,3.1925,146.8075,Expired,6925,6825,,,9850,1,0,Double Bid,-0.107222779036329,,EMA-V Puts,EMA-VWAP,0.32,1.82,2026-02-02,10:52:01,2026-02-02,16:00:45,14879,0,2
IB:U14981614,2/2/2026,11:19 AM,4:00 PM,PutSpread,Short,1,1.45,0,2.9,145,1,3.1925,141.8075,Expired,6940,6840,,,9855,1,0,Double Bid,-0.129157430334995,,EMA-V Puts,EMA-VWAP,0.27,1.72,2026-02-02,11:19:01,2026-02-02,16:00:50,14882,0,2
IB:U14981614,2/2/2026,11:28 AM,4:01 PM,PutSpread,Short,1,1.4,0,2.8,140,1,3.1925,136.8075,Expired,6935,6835,,,9860,1,0,Double Bid,-0.104339525399446,,EMA-V Puts,EMA-VWAP,0.25,1.65,2026-02-02,11:28:01,2026-02-02,16:01:07,14885,0,2
IB:U14981614,2/2/2026,11:37 AM,4:01 PM,PutSpread,Short,1,1.6,0,3.2,160,1,3.1925,156.8075,Expired,6945,6845,,,9840,1,0,Double Bid,-0.133675267788868,,EMA-V Puts,EMA-VWAP,0.27,1.87,2026-02-02,11:37:01,2026-02-02,16:01:12,14886,0,2
IB:U14981614,2/2/2026,11:46 AM,4:01 PM,PutSpread,Short,1,1.4,0,2.8,140,1,3.1925,136.8075,Expired,6935,6835,,,9860,1,0,Double Bid,-0.104909525524658,,EMA-V Puts,EMA-VWAP,0.27,1.67,2026-02-02,11:46:46,2026-02-02,16:01:17,14887,0,2
IB:U14981614,2/2/2026,12:04 PM,4:01 PM,PutSpread,Short,1,1.35,0,2.7,135,1,3.1925,131.8075,Expired,6955,6855,,,9865,1,0,Double Bid,-0.1212232284489,,EMA-V Puts,EMA-VWAP,0.22,1.57,2026-02-02,12:04:01,2026-02-02,16:01:21,14888,0,2
IB:U14981614,2/2/2026,12:13 PM,3:04 PM,PutSpread,Short,1,1.55,-3.25,3.1,155,1,6.4850,-176.485,Stopped,6960,6860,,,9845,-1.09677419354839,0.20,Double Bid,-0.130176534443502,,EMA-V Puts,EMA-VWAP,0.27,1.82,2026-02-02,12:13:01,2026-02-02,15:04:33,14891,0,2
IB:U14981614,2/2/2026,12:22 PM,3:04 PM,PutSpread,Short,1,1.5,-3.35,3,150,1,6.3850,-191.385,Stopped,6960,6860,,,9850,-1.23333333333333,0.40,Double Bid,-0.156642255708299,,EMA-V Puts,EMA-VWAP,0.27,1.77,2026-02-02,12:22:01,2026-02-02,15:04:36,14900,0,2
IB:U14981614,2/2/2026,12:31 PM,1:36 PM,PutSpread,Short,1,1.65,-1.05,3.3,165,1,3.1925,56.8075,Manual Closed,6965,6865,,,9835,0.363636363636364,0,Double Bid,-0.170891241492441,,EMA-V Puts,EMA-VWAP,0.27,1.92,2026-02-02,12:31:01,2026-02-02,13:36:03,14901,0,2
IB:U14981614,2/2/2026,12:40 PM,1:35 PM,PutSpread,Short,1,1.4,-1.05,2.8,140,1,3.1925,31.8075,Manual Closed,6965,6865,,,9860,0.25,0,Double Bid,-0.15528076789744,,EMA-V Puts,EMA-VWAP,0.22,1.62,2026-02-02,12:40:01,2026-02-02,13:35:54,14904,0,2
IB:U14981614,2/2/2026,12:49 PM,1:35 PM,PutSpread,Short,1,1.4,-1,2.8,140,1,3.1925,36.8075,Manual Closed,6965,6865,,,9860,0.285714285714286,0,Double Bid,-0.15640520268437,,EMA-V Puts,EMA-VWAP,0.22,1.62,2026-02-02,12:49:01,2026-02-02,13:35:42,14906,0,2
IB:U14981614,2/2/2026,12:58 PM,1:21 PM,PutSpread,Short,1,1.3,-2.5,2.6,130,1,6.3850,-126.385,Stopped,6970,6870,,,9870,-0.923076923076923,0.1,Double Bid,-0.139443701391587,,EMA-V Puts,EMA-VWAP,0.17,1.47,2026-02-02,12:58:01,2026-02-02,13:21:07,14911,0,2
IB:U14981614,2/2/2026,1:07 PM,1:20 PM,PutSpread,Short,1,1.25,-2.35,2.5,125,1,6.3850,-116.385,Stopped,6970,6870,,,9875,-0.88,0.05,Double Bid,-0.155789975110201,,EMA-V Puts,EMA-VWAP,0.22,1.47,2026-02-02,13:07:19,2026-02-02,13:20:44,14916,0,2
